Molecular name	Assembly	GENBANK	RefSeq sequence	Organism	Taxonomy
Chromosome	GCA_000005845.2	U00096.3	NC_000913.3	Escherichia coli str. K-12 substr MG1655	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli; Escherichia coli K-12
Chromosome	GCA_000010425.1	AP009256.1	NC_008618.1	Bifidobacterium adolescentis ATCC 15703	Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium adolescentis
Chromosome	GCA_000011065.1	AE015928.1	NC_004663.1	Bacteroides thetaiotaomicron VPI-5482 (CFB group bacteria)	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides thetaiotaomicron
Plasmid p5482	GCA_000011065.1	AY171301.1	NC_004703.1	Bacteroides thetaiotaomicron VPI-5482 (CFB group bacteria)	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides thetaiotaomicron
Chromosome	GCA_000020225.1	CP001071.1	NC_010655.1	Akkermansia muciniphila ATCC BAA-835 (verrucomicrobia)	Bacteria; PVC group; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia; Akkermansia muciniphila
Chromosome	GCA_000020605.1	CP001107.1	NC_012781.1	[Eubacterium] rectale ATCC 33656 (firmicutes)	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified Lachnospiraceae; [Eubacterium] rectale
Scaffold	GCA_000157935.1	GG703875.1	NA	Prevotella copri DSM 18205 (CFB group bacteria)	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella copri
Contig	GCA_000169035.1	AAVN02000020.1	NA	Collinsella aerofaciens ATCC 25986 (actinobacteria)	Bacteria; Terrabacteria group; Actinobacteria; Coriobacteriia; Coriobacteriales; Coriobacteriaceae; Collinsella; Collinsella aerofaciens
Contig	GCA_000169235.1	AAXA02000016.1		Dorea formicigenerans ATCC 27755 (firmicutes)	Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Dorea; Dorea formicigenerans
Chromosome	GCA_000177215.2	CM001368.1	NZ_CM001368.1	Desulfovibrio sp. FW1012B (d-proteobacteria)	Bacteria; Proteobacteria; delta/epsilon subdivisions; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio
